C:\Python27\python.exe C:/Users/Tomer/PycharmProjects/GA_Ex1/genetic_train.py
* Pool Size = 150
* Generations = 10000
* Mutation Prob = 0.05
* Crossover by Row
* Elitism is ON
	# Elitism is 10.0%, which means 15 chromosomes

+------------+-----------+------------+-----------+-----------+----------+
| Generation | Gen. Time | Worst Loss | Worst Acc | Best Loss | Best Acc |
|    7000    | 391.2520s |   0.2452   | 92.6833 % |  0.2849   | 92.0333% |
|    7100    | 389.6020s |   0.2496   | 92.6167 % |  0.2836   | 92.1083% |
|    7200    | 389.9510s |   0.2476   | 92.6521 % |  0.2783   | 92.2083% |
|    7300    | 390.6120s |   0.2407   | 92.8562 % |  0.2729   | 92.3667% |
|    7400    | 389.5310s |   0.2427   | 92.7521 % |  0.2760   | 92.3000% |
|    7500    | 389.5180s |   0.2351   | 93.0500 % |  0.2716   | 92.4417% |
|    7600    | 389.5160s |   0.2370   | 92.9125 % |  0.2736   | 92.3083% |
|    7700    | 389.8770s |   0.2357   | 92.9667 % |  0.2725   | 92.4083% |
|    7800    | 392.5480s |   0.2288   | 93.2500 % |  0.2633   | 92.4917% |
|    7900    | 392.4050s |   0.2271   | 93.2125 % |  0.2623   | 92.6000% |
|    8000    | 392.1890s |   0.2318   | 93.1063 % |  0.2721   | 92.4667% |
|    8100    | 393.0440s |   0.2224   | 93.3208 % |  0.2669   | 92.5833% |
|    8200    | 391.7200s |   0.2235   | 93.2604 % |  0.2614   | 92.6500% |
|    8300    | 391.6900s |   0.2240   | 93.2604 % |  0.2644   | 92.7417% |
|    8400    | 392.3270s |   0.2231   | 93.2292 % |  0.2589   | 92.7083% |
|    8500    | 391.7990s |   0.2141   | 93.5813 % |  0.2598   | 92.6250% |
|    8600    | 392.1160s |   0.2140   | 93.6750 % |  0.2588   | 92.7083% |
|    8700    | 393.0330s |   0.2114   | 93.7333 % |  0.2567   | 92.6333% |
|    8800    | 391.8760s |   0.2165   | 93.4688 % |  0.2597   | 92.7000% |
|    8900    | 396.4050s |   0.2075   | 93.7062 % |  0.2551   | 92.7250% |
|    9000    | 392.6720s |   0.2114   | 93.6187 % |  0.2588   | 92.7167% |
|    9100    | 390.1400s |   0.2073   | 93.6000 % |  0.2490   | 92.8333% |
|    9200    | 389.2370s |   0.2079   | 93.6083 % |  0.2514   | 92.8167% |
|    9300    | 390.8880s |   0.1974   | 94.0583 % |  0.2491   | 92.9583% |
|    9400    | 390.5010s |   0.1974   | 94.0167 % |  0.2462   | 92.9667% |
|    9500    | 390.5480s |   0.1981   | 94.0229 % |  0.2466   | 92.8667% |
|    9600    | 390.6880s |   0.1942   | 94.0958 % |  0.2445   | 92.8750% |
|    9700    | 393.0950s |   0.1934   | 94.1625 % |  0.2436   | 92.8917% |
|    9800    | 391.1710s |   0.1934   | 94.1521 % |  0.2470   | 92.8583% |
|    9900    | 389.9280s |   0.1946   | 94.0146 % |  0.2436   | 93.0000% |
|   10000    | 386.6600s |   0.1942   | 94.1021 % |  0.2416   | 92.9417% |
+------------+-----------+------------+-----------+-----------+----------+

Accuracy on Test Set is 93.54% and Loss is 0.221494647773
It took 0.172000169754 seconds

Process finished with exit code 0
